ID,NAME,county,ghost,rep_voters,dem_voters,lib_voters,green_voters,una_voters,other_voters,active_qualified_total,schuh,pittman,write_in,total_votes,perc_schuh,perc_pittman,perc_write_in,winner,perc_winner,area,zipcode,area_mi
7075,ANNE ARUNDEL PRECINCT 02-022,Anne Arundel County,0,945,972,19,5,581,6,2528,536,295,0,831,64.50060168471721,35.49939831528279,0,schuh,64.50060168471721,2097923.097685635,21060,0.8100126364732162
7078,ANNE ARUNDEL PRECINCT 02-023,Anne Arundel County,0,863,1009,24,4,663,7,2570,497,500,2,999,49.74974974974975,50.050050050050054,0.20020020020020018,pittman,50.050050050050054,4913088.988095522,"21113, 21144",1.8969542634165304
750000028,ANNE ARUNDEL PRECINCT 02-024,Anne Arundel County,0,689,869,12,3,467,2,2042,345,357,0,702,49.14529914529914,50.85470085470085,0,pittman,50.85470085470085,2096306.9169389606,21144,0.8093886255983299
6951,ANNE ARUNDEL PRECINCT 03-001,Anne Arundel County,0,880,661,17,3,428,6,1995,529,318,1,848,62.382075471698116,37.5,0.1179245283018868,schuh,62.382075471698116,1371129.3512253761,21122,0.5293960021495034
6952,ANNE ARUNDEL PRECINCT 03-002,Anne Arundel County,0,563,493,10,1,355,8,1430,389,175,0,564,68.97163120567376,31.028368794326237,0,schuh,68.97163120567376,870168.8440212589,21122,0.33597406897329907
6953,ANNE ARUNDEL PRECINCT 03-003,Anne Arundel County,0,1181,951,30,5,678,15,2860,651,346,3,1000,65.10000000000001,34.599999999999994,0.3,schuh,65.10000000000001,1609543.1273300946,21122,0.6214480757298745
6954,ANNE ARUNDEL PRECINCT 03-004,Anne Arundel County,0,1159,957,31,9,651,5,2812,651,416,1,1068,60.95505617977528,38.951310861423224,0.09363295880149813,schuh,60.95505617977528,2649808.0426950604,21122,1.0230966050086285
6955,ANNE ARUNDEL PRECINCT 03-005,Anne Arundel County,0,1196,1018,27,3,603,12,2859,622,422,2,1046,59.46462715105163,40.344168260038245,0.19120458891013384,schuh,59.46462715105163,6305097.419261575,"21108, 21122",2.4344117233995166
6956,ANNE ARUNDEL PRECINCT 03-006,Anne Arundel County,0,2254,3137,66,12,1527,35,7031,1182,1361,2,2545,46.44400785854617,53.477406679764236,0.07858546168958742,pittman,53.477406679764236,18321143.748841047,"21060, 21122, 21226",7.073833148400412
6957,ANNE ARUNDEL PRECINCT 03-007,Anne Arundel County,0,800,769,17,4,460,7,2057,522,353,1,876,59.589041095890416,40.29680365296804,0.1141552511415525,schuh,59.589041095890416,1293380.5623532832,21122,0.4993770269419001
6958,ANNE ARUNDEL PRECINCT 03-008,Anne Arundel County,0,757,1300,20,9,563,14,2663,428,483,1,912,46.92982456140351,52.960526315789465,0.10964912280701754,pittman,52.960526315789465,2729475.470404148,21060,1.0538563708126596
6959,ANNE ARUNDEL PRECINCT 03-009,Anne Arundel County,0,482,336,9,1,216,5,1049,329,140,0,469,70.1492537313433,29.850746268656714,0,schuh,70.1492537313433,3031326.108349949,"21122, 21146",1.170401553681054
6960,ANNE ARUNDEL PRECINCT 03-010,Anne Arundel County,0,1151,580,11,1,446,5,2194,717,282,1,1000,71.7,28.199999999999996,0.1,schuh,71.7,3512363.8651472926,21122,1.3561312699210935
6961,ANNE ARUNDEL PRECINCT 03-011,Anne Arundel County,0,1177,617,18,5,471,7,2295,775,335,1,1111,69.75697569756976,30.15301530153015,0.09000900090009001,schuh,69.75697569756976,8762032.140821638,"21056, 21122",3.3830395227926044
6962,ANNE ARUNDEL PRECINCT 03-012,Anne Arundel County,0,1111,609,14,0,441,9,2184,755,234,0,989,76.33973710819009,23.660262891809907,0,schuh,76.33973710819009,6679907.044156328,21122,2.5791265286139975
6963,ANNE ARUNDEL PRECINCT 03-013,Anne Arundel County,0,1179,588,23,6,444,6,2246,711,281,0,992,71.67338709677419,28.326612903225808,0,schuh,71.67338709677419,10575027.475716833,21122,4.083040935023662
6964,ANNE ARUNDEL PRECINCT 03-014,Anne Arundel County,0,737,540,13,5,344,6,1645,427,206,0,633,67.4565560821485,32.5434439178515,0,schuh,67.4565560821485,1170373.8513761759,21122,0.45188387031838895
6965,ANNE ARUNDEL PRECINCT 03-015,Anne Arundel County,0,825,402,8,2,275,5,1517,522,212,3,737,70.82767978290366,28.76526458616011,0.40705563093622793,schuh,70.82767978290366,6854383.19614172,"21056, 21122",2.6464921475097984
6966,ANNE ARUNDEL PRECINCT 03-016,Anne Arundel County,0,873,696,18,5,509,8,2109,502,294,0,796,63.06532663316583,36.93467336683417,0,schuh,63.06532663316583,1199644.1468746746,21122,0.46318519459154484
6967,ANNE ARUNDEL PRECINCT 03-017,Anne Arundel County,0,967,595,11,0,396,8,1977,648,209,1,858,75.52447552447552,24.358974358974358,0.11655011655011654,schuh,75.52447552447552,2462728.437808156,21122,0.950864765742461
6968,ANNE ARUNDEL PRECINCT 03-018,Anne Arundel County,0,1253,761,19,5,495,10,2543,668,253,1,922,72.45119305856834,27.440347071583517,0.10845986984815618,schuh,72.45119305856834,6792697.369108722,21122,2.62267511654086
6969,ANNE ARUNDEL PRECINCT 03-019,Anne Arundel County,0,1045,529,18,2,404,10,2008,642,256,4,902,71.17516629711751,28.38137472283814,0.4434589800443459,schuh,71.17516629711751,7929669.047757354,21122,3.061662335869125
6970,ANNE ARUNDEL PRECINCT 03-020,Anne Arundel County,0,821,514,5,5,326,3,1674,552,209,1,762,72.44094488188976,27.42782152230971,0.13123359580052493,schuh,72.44094488188976,2060818.1087688804,21122,0.7956863201597506
6971,ANNE ARUNDEL PRECINCT 03-021,Anne Arundel County,0,1012,882,20,6,606,8,2534,480,411,2,893,53.75139977603583,46.02463605823068,0.22396416573348266,schuh,53.75139977603583,1594172.989988625,21122,0.6155136325252338
6972,ANNE ARUNDEL PRECINCT 03-022,Anne Arundel County,0,744,640,10,3,342,3,1742,425,287,3,715,59.44055944055944,40.13986013986014,0.4195804195804196,schuh,59.44055944055944,4726020.770614162,21122,1.8247268208522238
6973,ANNE ARUNDEL PRECINCT 03-023,Anne Arundel County,0,770,551,18,0,313,4,1656,487,265,1,753,64.6746347941567,35.1925630810093,0.13280212483399734,schuh,64.6746347941567,1831767.4912913144,"21122, 21146",0.7072493823361018
6974,ANNE ARUNDEL PRECINCT 03-024,Anne Arundel County,0,899,844,22,7,577,10,2359,601,335,3,939,64.00425985090521,35.67625133120341,0.3194888178913738,schuh,64.00425985090521,7340467.1847822,"21060, 21226",2.8341702247569804
7079,ANNE ARUNDEL PRECINCT 03-025,Anne Arundel County,0,506,1011,14,2,367,6,1906,240,376,4,620,38.70967741935484,60.64516129032258,0.6451612903225806,pittman,60.64516129032258,1753221.9203947186,"21060, 21122",0.6769227678689498
6975,ANNE ARUNDEL PRECINCT 04-001,Anne Arundel County,0,319,1267,17,4,409,8,2024,205,603,1,809,25.339925834363413,74.53646477132261,0.12360939431396785,pittman,74.53646477132261,2654617.8480045125,"20707, 20723, 20724",1.0249536812207787
6976,ANNE ARUNDEL PRECINCT 04-002,Anne Arundel County,0,746,1196,21,6,719,11,2699,373,576,3,952,39.180672268907564,60.50420168067227,0.31512605042016806,pittman,60.50420168067227,3241797.0995036364,"21054, 21113, 21144",1.2516648576761347
6977,ANNE ARUNDEL PRECINCT 04-003,Anne Arundel County,0,715,670,15,4,452,9,1865,417,327,1,745,55.97315436241611,43.89261744966443,0.1342281879194631,schuh,55.97315436241611,2992710.557285491,"21054, 21113",1.1554920060617468
6978,ANNE ARUNDEL PRECINCT 04-004,Anne Arundel County,0,1010,720,24,2,410,7,2173,551,386,0,937,58.80469583778015,41.19530416221985,0,schuh,58.80469583778015,19775043.38707429,"21032, 21054, 21108",7.635186937026861
6979,ANNE ARUNDEL PRECINCT 04-005,Anne Arundel County,0,397,628,7,1,352,5,1390,179,313,1,493,36.308316430020284,63.48884381338742,0.2028397565922921,pittman,63.48884381338742,1032497.6098076105,21113,0.3986495558369976
6980,ANNE ARUNDEL PRECINCT 04-006,Anne Arundel County,0,223,2021,16,4,516,10,2790,117,983,0,1100,10.636363636363637,89.36363636363637,0,pittman,89.36363636363637,1375475.9405241907,20724,0.5310742296600748
6981,ANNE ARUNDEL PRECINCT 04-007,Anne Arundel County,0,573,1526,42,8,755,14,2918,223,572,1,796,28.015075376884425,71.85929648241206,0.12562814070351758,pittman,71.85929648241206,17979102.247910827,"20701, 20724, 20755, 20794, 21076, 21113, 21144",6.941770186580036
6982,ANNE ARUNDEL PRECINCT 04-008,Anne Arundel County,0,768,773,11,6,463,8,2029,446,326,0,772,57.77202072538861,42.2279792746114,0,schuh,57.77202072538861,6353639.62691927,"21054, 21113",2.4531539745565856
6983,ANNE ARUNDEL PRECINCT 04-009,Anne Arundel County,0,379,1987,10,6,641,9,3032,256,1029,3,1288,19.875776397515526,79.8913043478261,0.2329192546583851,pittman,79.8913043478261,3769263.9795763493,"20723, 20724",1.455320958632044
6984,ANNE ARUNDEL PRECINCT 04-010,Anne Arundel County,0,245,330,1,1,123,6,706,107,86,0,193,55.44041450777202,44.559585492227974,0,schuh,55.44041450777202,12712440.83609216,"20715, 20755, 21113, 21114",4.90830084716279
6985,ANNE ARUNDEL PRECINCT 04-011,Anne Arundel County,0,437,926,10,4,431,3,1811,239,378,0,617,38.73581847649919,61.26418152350082,0,pittman,61.26418152350082,1029864.453242816,21113,0.3976328884035494
6986,ANNE ARUNDEL PRECINCT 04-012,Anne Arundel County,0,587,809,15,5,468,8,1892,258,306,4,568,45.42253521126761,53.87323943661971,0.7042253521126761,pittman,53.87323943661971,1795407.9349907637,"20755, 21113",0.6932108791648007
6987,ANNE ARUNDEL PRECINCT 04-013,Anne Arundel County,0,808,558,12,6,393,6,1783,415,253,2,670,61.940298507462686,37.76119402985075,0.2985074626865672,schuh,61.940298507462686,17832380.37709582,"21054, 21108, 21113, 21144",6.885120555552923
6988,ANNE ARUNDEL PRECINCT 04-014,Anne Arundel County,0,826,647,21,2,437,8,1941,405,368,0,773,52.39327296248383,47.60672703751617,0,schuh,52.39327296248383,7539265.77886726,"21032, 21108",2.9109267910484955
6989,ANNE ARUNDEL PRECINCT 04-015,Anne Arundel County,0,1109,926,24,6,621,7,2693,647,588,1,1236,52.346278317152105,47.57281553398058,0.08090614886731393,schuh,52.346278317152105,9125446.981059201,21032,3.5233547770548137
6990,ANNE ARUNDEL PRECINCT 04-016,Anne Arundel County,0,560,927,16,3,540,8,2054,321,451,1,773,41.52652005174644,58.34411384217335,0.129366106080207,pittman,58.34411384217335,2299800.979434084,21113,0.88795812237834
6991,ANNE ARUNDEL PRECINCT 04-017,Anne Arundel County,0,356,1207,23,8,425,14,2033,202,530,0,732,27.595628415300546,72.40437158469946,0,pittman,72.40437158469946,1608752.899267275,"20708, 20724",0.6211429669690788
6992,ANNE ARUNDEL PRECINCT 04-018,Anne Arundel County,0,663,1056,12,3,488,7,2229,273,426,3,702,38.88888888888889,60.68376068376068,0.4273504273504274,pittman,60.68376068376068,13306652.860050619,"20755, 21054, 21113, 21114",5.137727392245235
6993,ANNE ARUNDEL PRECINCT 04-019,Anne Arundel County,0,206,1298,12,2,434,5,1957,93,597,0,690,13.478260869565217,86.52173913043478,0,pittman,86.52173913043478,834056.3731909692,21113,0.3220309660354104
6994,ANNE ARUNDEL PRECINCT 04-020,Anne Arundel County,0,609,951,21,4,442,14,2041,323,403,4,730,44.24657534246575,55.205479452054796,0.547945205479452,pittman,55.205479452054796,12751490.495430365,"20724, 20755, 21113",4.923378004923632
7083,ANNE ARUNDEL PRECINCT 04-021,Anne Arundel County,0,1144,1265,25,9,734,11,3188,442,600,1,1043,42.377756471716204,57.52636625119847,0.09587727708533077,pittman,57.52636625119847,3793641.8170217276,"21032, 21054, 21114",1.46473329429031
7090,ANNE ARUNDEL PRECINCT 04-022,Anne Arundel County,0,526,997,17,8,441,6,1995,214,417,1,632,33.860759493670884,65.98101265822784,0.15822784810126583,pittman,65.98101265822784,457402.8202685118,"21054, 21114",0.17660421622923572
500000034,ANNE ARUNDEL PRECINCT 04-023,Anne Arundel County,0,1100,1315,22,1,768,14,3220,485,616,1,1102,44.01088929219601,55.898366606170605,0.09074410163339383,pittman,55.898366606170605,2502413.228834018,"21054, 21113",0.9661871492188662
500000035,ANNE ARUNDEL PRECINCT 04-024,Anne Arundel County,0,336,1379,10,6,504,8,2243,147,648,0,795,18.49056603773585,81.50943396226415,0,pittman,81.50943396226415,1428934.784528315,"20755, 21113, 21144",0.55171480472327
500000316,ANNE ARUNDEL PRECINCT 04-025,Anne Arundel County,0,69,149,4,1,86,1,310,44,75,0,119,36.97478991596639,63.02521008403361,0,pittman,63.02521008403361,20027844.01537043,"20708, 20724, 20755",7.7327938052929746
